Site ID,M35/5119
Site Name,M35/5119
Site ID,SampleID,Collection Date,Measurement,Value,Units
"M35/5119","20243069","17-Apr 2024 09:45am","Alkalinity, Total","52.0","g/m3 as CaCO3"
"M35/5119","20243069","17-Apr 2024 09:45am","Bicarbonate","64.000","mg/L  at 25°C"
"M35/5119","20243069","17-Apr 2024 09:45am","Calcium, Dissolved","18.400","mg/L"
"M35/5119","20243069","17-Apr 2024 09:45am","Chloride","4.400","mg/L"
"M35/5119","20243069","17-Apr 2024 09:45am","Conductivity","13.7","mS/m"
"M35/5119","20243069","17-Apr 2024 09:45am","Conductivity (Field)","13.20","mS/m"
"M35/5119","20243069","17-Apr 2024 09:45am","Difference in Ion Balance","0.320","%"
"M35/5119","20243069","17-Apr 2024 09:45am","Dissolved Oxygen","8.840","mg/L"
"M35/5119","20243069","17-Apr 2024 09:45am","Dissolved Oxygen Saturation","84.100","%"
"M35/5119","20243069","17-Apr 2024 09:45am","E. coli","<1","MPN/100mL"
"M35/5119","20243069","17-Apr 2024 09:45am","Hardness, Total","54.000","g/m3 as CaCO3"
"M35/5119","20243069","17-Apr 2024 09:45am","Magnesium, Dissolved","1.990","mg/L"
"M35/5119","20243069","17-Apr 2024 09:45am","Nitrate Nitrogen","1.340","mg/L"
"M35/5119","20243069","17-Apr 2024 09:45am","Oxidation Reduction Potential","169.200","mV"
"M35/5119","20243069","17-Apr 2024 09:45am","pH","7.0",""
"M35/5119","20243069","17-Apr 2024 09:45am","pH (Field)","6.63",""
"M35/5119","20243069","17-Apr 2024 09:45am","Potassium, Dissolved","0.960","mg/L"
"M35/5119","20243069","17-Apr 2024 09:45am","Silica, Reactive","11.100","mg/L  as SiO2"
"M35/5119","20243069","17-Apr 2024 09:45am","Sodium, Dissolved","6.200","mg/L"
"M35/5119","20243069","17-Apr 2024 09:45am","Sulphate","4.900","mg/L"
"M35/5119","20243069","17-Apr 2024 09:45am","Sum of anions","1.360","meq/L"
"M35/5119","20243069","17-Apr 2024 09:45am","Sum of cations","1.370","meq/L"
"M35/5119","20243069","17-Apr 2024 09:45am","Total Coliforms","<1.00","number/100mL"
"M35/5119","20243069","17-Apr 2024 09:45am","Water Temperature (Field)","13.1","C"
"M35/5119","20237822","10-Jan 2024 21:45pm","Alkalinity, Total","52.0","g/m3 as CaCO3"
"M35/5119","20237822","10-Jan 2024 21:45pm","Bicarbonate","63.000","mg/L  at 25°C"
"M35/5119","20237822","10-Jan 2024 21:45pm","Calcium, Dissolved","21.000","mg/L"
"M35/5119","20237822","10-Jan 2024 21:45pm","Chloride","5.000","mg/L"
"M35/5119","20237822","10-Jan 2024 21:45pm","Conductivity","15.7","mS/m"
"M35/5119","20237822","10-Jan 2024 21:45pm","Conductivity (Field)","15.05","mS/m"
"M35/5119","20237822","10-Jan 2024 21:45pm","Difference in Ion Balance","3.900","%"
"M35/5119","20237822","10-Jan 2024 21:45pm","Dissolved Oxygen","8.980","mg/L"
"M35/5119","20237822","10-Jan 2024 21:45pm","Dissolved Oxygen Saturation","84.500","%"
"M35/5119","20237822","10-Jan 2024 21:45pm","E. coli","<1","MPN/100mL"
"M35/5119","20237822","10-Jan 2024 21:45pm","Hardness, Total","62.000","g/m3 as CaCO3"
"M35/5119","20237822","10-Jan 2024 21:45pm","Magnesium, Dissolved","2.300","mg/L"
"M35/5119","20237822","10-Jan 2024 21:45pm","Nitrate Nitrogen","2.400","mg/L"
