Site ID,M35/0132
Site Name,Old Petrie Well
Site ID,SampleID,Collection Date,Measurement,Value,Units
"M35/0132","20242963","10-Apr 2024 09:55am","Alkalinity, Total","41.0","g/m3 as CaCO3"
"M35/0132","20242963","10-Apr 2024 09:55am","Bicarbonate","50.000","mg/L  at 25°C"
"M35/0132","20242963","10-Apr 2024 09:55am","Calcium, Dissolved","14.800","mg/L"
"M35/0132","20242963","10-Apr 2024 09:55am","Chloride","6.800","mg/L"
"M35/0132","20242963","10-Apr 2024 09:55am","Conductivity","16.0","mS/m"
"M35/0132","20242963","10-Apr 2024 09:55am","Conductivity (Field)","15.88","mS/m"
"M35/0132","20242963","10-Apr 2024 09:55am","Difference in Ion Balance","3.000","%"
"M35/0132","20242963","10-Apr 2024 09:55am","Dissolved Oxygen","6.140","mg/L"
"M35/0132","20242963","10-Apr 2024 09:55am","Dissolved Oxygen Saturation","59.500","%"
"M35/0132","20242963","10-Apr 2024 09:55am","Dissolved Reactive Phosphorus","0.0087","mg/L"
"M35/0132","20242963","10-Apr 2024 09:55am","E. coli","<1","MPN/100mL"
"M35/0132","20242963","10-Apr 2024 09:55am","Hardness, Total","58.000","g/m3 as CaCO3"
"M35/0132","20242963","10-Apr 2024 09:55am","Magnesium, Dissolved","5.100","mg/L"
"M35/0132","20242963","10-Apr 2024 09:55am","Nitrate Nitrogen","3.600","mg/L"
"M35/0132","20242963","10-Apr 2024 09:55am","Oxidation Reduction Potential","301.400","mV"
"M35/0132","20242963","10-Apr 2024 09:55am","pH","7.2",""
"M35/0132","20242963","10-Apr 2024 09:55am","pH (Field)","5.65",""
"M35/0132","20242963","10-Apr 2024 09:55am","Potassium, Dissolved","1.550","mg/L"
"M35/0132","20242963","10-Apr 2024 09:55am","Silica, Reactive","16.300","mg/L  as SiO2"
"M35/0132","20242963","10-Apr 2024 09:55am","Sodium, Dissolved","10.200","mg/L"
"M35/0132","20242963","10-Apr 2024 09:55am","Sulphate","13.100","mg/L"
"M35/0132","20242963","10-Apr 2024 09:55am","Sum of anions","1.550","meq/L"
"M35/0132","20242963","10-Apr 2024 09:55am","Sum of cations","1.640","meq/L"
"M35/0132","20242963","10-Apr 2024 09:55am","Total Coliforms","6.00","number/100mL"
