Site ID,K36/1074
Site Name,K36/1074
Sample ID,20236201
Collection Date,26-Oct 2023 14:00pm
Name,Value,Units
"Alkalinity, Total","68.0","g/m3 as CaCO3"
"Aluminium, Dissolved","<0.003","mg/L"
"Ammoniacal Nitrogen","<0.010","mg/L"
"Bicarbonate","82.000","mg/L  at 25°C"
"Calcium, Dissolved","33.000","mg/L"
"Chloride","6.200","mg/L"
"Conductivity","24.7","mS/m"
"Conductivity (Field)","25.07","mS/m"
"Difference in Ion Balance","1.740","%"
"Dissolved Oxygen","11.100","mg/L"
"Dissolved Oxygen Saturation","103.500","%"
"Dissolved Reactive Phosphorus","0.0044","mg/L"
"E. coli","<1","MPN/100mL"
"Hardness, Total","107.000","g/m3 as CaCO3"
"Iron, Dissolved","<0.020","mg/L"
"Magnesium, Dissolved","5.900","mg/L"
"Manganese, Dissolved","0.0006","mg/L"
"Nitrate Nitrogen","10.200","mg/L"
"Nitrate-N Nitrite-N","10.200","g/m3"
"Nitrite Nitrogen","<0.002","mg/L"
"Oxidation Reduction Potential","157.200","mV"
"pH","8.0",""
"pH (Field)","7.95",""
"Potassium, Dissolved","1.200","mg/L"
"Silica, Reactive","12.700","mg/L  as SiO2"
"Sodium, Dissolved","7.300","mg/L"
"Sulphate","7.300","mg/L"
"Sum of anions","2.400","meq/L"
"Sum of cations","2.500","meq/L"
"Total Coliforms","<1.00","number/100mL"
"Total Dissolved Phosphorus","0.005","mg/L"
"Water Temperature (Field)","10.7","C"
