Site ID,K37/2333
Site Name,Missing Name
Sample ID,2404831
Collection Date,26-Aug 2004 12:20pm
Name,Value,Units
"Alkalinity to pH 4.5 as HCO3","73.000","mg/L  as HCO3"
"Ammoniacal Nitrogen","<0.005","mg/L"
"Calcium, Dissolved","23.000","mg/L"
"Chloride","18.000","mg/L"
"Conductivity","28.0","mS/m"
"Conductivity (Field)","27.90","mS/m"
"Dissolved Oxygen","4.830","mg/L"
"Dissolved Oxygen Saturation","47.600","%"
"Iron, Dissolved","0.040","mg/L"
"Magnesium, Dissolved","9.200","mg/L"
"Manganese, Dissolved","<0.0100","mg/L"
"Nitrate Nitrogen","6.700","mg/L"
"pH","6.5",""
"pH (Field)","7.00",""
"Potassium, Dissolved","1.300","mg/L"
"Sodium, Dissolved","16.000","mg/L"
"Sulphate","21.000","mg/L"
"Total Kjeldahl Nitrogen","<0.050","mg/L"
"Water Temperature (Field)","12.4","C"
