Site ID,BU24/0002
Site Name,BU24/0002
Site ID,SampleID,Collection Date,Measurement,Value,Units
"BU24/0002","20237432","12-Dec 2023 07:00am","Alkalinity, Total","17.0","g/m3 as CaCO3"
"BU24/0002","20237432","12-Dec 2023 07:00am","Bicarbonate","21.000","mg/L  at 25°C"
"BU24/0002","20237432","12-Dec 2023 07:00am","Calcium, Dissolved","7.500","mg/L"
"BU24/0002","20237432","12-Dec 2023 07:00am","Chloride","2.500","mg/L"
"BU24/0002","20237432","12-Dec 2023 07:00am","Conductivity","8.8","mS/m"
"BU24/0002","20237432","12-Dec 2023 07:00am","Conductivity (Field)","8.68","mS/m"
"BU24/0002","20237432","12-Dec 2023 07:00am","Difference in Ion Balance","2.300","%"
"BU24/0002","20237432","12-Dec 2023 07:00am","Dissolved Oxygen","8.720","mg/L"
"BU24/0002","20237432","12-Dec 2023 07:00am","Dissolved Oxygen Saturation","82.900","%"
"BU24/0002","20237432","12-Dec 2023 07:00am","E. coli","<1","MPN/100mL"
"BU24/0002","20237432","12-Dec 2023 07:00am","Hardness, Total","26.000","g/m3 as CaCO3"
"BU24/0002","20237432","12-Dec 2023 07:00am","Magnesium, Dissolved","1.860","mg/L"
"BU24/0002","20237432","12-Dec 2023 07:00am","Nitrate Nitrogen","4.200","mg/L"
"BU24/0002","20237432","12-Dec 2023 07:00am","Oxidation Reduction Potential","281.100","mV"
"BU24/0002","20237432","12-Dec 2023 07:00am","pH","6.5",""
"BU24/0002","20237432","12-Dec 2023 07:00am","pH (Field)","5.42",""
"BU24/0002","20237432","12-Dec 2023 07:00am","Potassium, Dissolved","3.300","mg/L"
"BU24/0002","20237432","12-Dec 2023 07:00am","Silica, Reactive","14.900","mg/L  as SiO2"
"BU24/0002","20237432","12-Dec 2023 07:00am","Sodium, Dissolved","4.900","mg/L"
"BU24/0002","20237432","12-Dec 2023 07:00am","Sulphate","3.700","mg/L"
"BU24/0002","20237432","12-Dec 2023 07:00am","Sum of anions","0.790","meq/L"
"BU24/0002","20237432","12-Dec 2023 07:00am","Sum of cations","0.830","meq/L"
"BU24/0002","20237432","12-Dec 2023 07:00am","Total Coliforms","3.00","number/100mL"
"BU24/0002","20237432","12-Dec 2023 07:00am","Water Temperature (Field)","11.0","C"
"BU24/0002","20235369","13-Sep 2023 07:50am","Alkalinity, Total","15.3","g/m3 as CaCO3"
"BU24/0002","20235369","13-Sep 2023 07:50am","Aluminium, Dissolved","0.003","mg/L"
"BU24/0002","20235369","13-Sep 2023 07:50am","Ammoniacal Nitrogen","<0.010","mg/L"
"BU24/0002","20235369","13-Sep 2023 07:50am","Bicarbonate","18.700","mg/L  at 25°C"
"BU24/0002","20235369","13-Sep 2023 07:50am","Calcium, Dissolved","7.300","mg/L"
"BU24/0002","20235369","13-Sep 2023 07:50am","Chloride","3.500","mg/L"
"BU24/0002","20235369","13-Sep 2023 07:50am","Conductivity","9.2","mS/m"
"BU24/0002","20235369","13-Sep 2023 07:50am","Conductivity (Field)","9.02","mS/m"
"BU24/0002","20235369","13-Sep 2023 07:50am","Difference in Ion Balance","3.200","%"
"BU24/0002","20235369","13-Sep 2023 07:50am","Dissolved Oxygen","9.020","mg/L"
"BU24/0002","20235369","13-Sep 2023 07:50am","Dissolved Oxygen Saturation","83.300","%"
"BU24/0002","20235369","13-Sep 2023 07:50am","Dissolved Reactive Phosphorus","0.0157","mg/L"
"BU24/0002","20235369","13-Sep 2023 07:50am","E. coli","<1","MPN/100mL"
"BU24/0002","20235369","13-Sep 2023 07:50am","Hardness, Total","25.000","g/m3 as CaCO3"
"BU24/0002","20235369","13-Sep 2023 07:50am","Iron, Dissolved","<0.020","mg/L"
"BU24/0002","20235369","13-Sep 2023 07:50am","Magnesium, Dissolved","1.750","mg/L"
"BU24/0002","20235369","13-Sep 2023 07:50am","Manganese, Dissolved","0.0009","mg/L"
"BU24/0002","20235369","13-Sep 2023 07:50am","Nitrate Nitrogen","5.300","mg/L"
"BU24/0002","20235369","13-Sep 2023 07:50am","Nitrate-N Nitrite-N","5.300","g/m3"
"BU24/0002","20235369","13-Sep 2023 07:50am","Nitrite Nitrogen","<0.002","mg/L"
"BU24/0002","20235369","13-Sep 2023 07:50am","Oxidation Reduction Potential","204.900","mV"
"BU24/0002","20235369","13-Sep 2023 07:50am","pH","6.3",""
"BU24/0002","20235369","13-Sep 2023 07:50am","pH (Field)","5.59",""
"BU24/0002","20235369","13-Sep 2023 07:50am","Potassium, Dissolved","3.300","mg/L"
"BU24/0002","20235369","13-Sep 2023 07:50am","Silica, Reactive","14.300","mg/L  as SiO2"
"BU24/0002","20235369","13-Sep 2023 07:50am","Sodium, Dissolved","5.000","mg/L"
"BU24/0002","20235369","13-Sep 2023 07:50am","Sulphate","3.800","mg/L"
"BU24/0002","20235369","13-Sep 2023 07:50am","Sum of anions","0.860","meq/L"
"BU24/0002","20235369","13-Sep 2023 07:50am","Sum of cations","0.810","meq/L"
"BU24/0002","20235369","13-Sep 2023 07:50am","Total Coliforms","<1.00","number/100mL"
"BU24/0002","20235369","13-Sep 2023 07:50am","Total Dissolved Phosphorus","0.017","mg/L"
"BU24/0002","20235369","13-Sep 2023 07:50am","Water Temperature (Field)","10.4","C"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Alkalinity, Total","15.9","g/m3 as CaCO3"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Bicarbonate","19.400","mg/L  at 25°C"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Calcium, Dissolved","5.800","mg/L"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Chloride","2.600","mg/L"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Conductivity","8.0","mS/m"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Conductivity (Field)","7.79","mS/m"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Difference in Ion Balance","0.160","%"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Dissolved Oxygen","8.430","mg/L"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Dissolved Oxygen Saturation","82.100","%"
"BU24/0002","20234049","14-Jun 2023 16:20pm","E. coli","<1","MPN/100mL"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Hardness, Total","20.000","g/m3 as CaCO3"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Magnesium, Dissolved","1.390","mg/L"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Nitrate Nitrogen","3.100","mg/L"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Oxidation Reduction Potential","255.200","mV"
"BU24/0002","20234049","14-Jun 2023 16:20pm","pH","6.8",""
"BU24/0002","20234049","14-Jun 2023 16:20pm","pH (Field)","5.76",""
"BU24/0002","20234049","14-Jun 2023 16:20pm","Potassium, Dissolved","3.300","mg/L"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Silica, Reactive","15.700","mg/L  as SiO2"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Sodium, Dissolved","4.800","mg/L"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Sulphate","4.300","mg/L"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Sum of anions","0.700","meq/L"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Sum of cations","0.700","meq/L"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Total Coliforms","2.00","number/100mL"
"BU24/0002","20234049","14-Jun 2023 16:20pm","Water Temperature (Field)","12.8","C"
"BU24/0002","20232467","15-Mar 2023 15:00pm","Alkalinity, Total","15.9","g/m3 as CaCO3"
"BU24/0002","20232467","15-Mar 2023 15:00pm","Bicarbonate","19.300","mg/L  at 25°C"
"BU24/0002","20232467","15-Mar 2023 15:00pm","Calcium, Dissolved","6.000","mg/L"
"BU24/0002","20232467","15-Mar 2023 15:00pm","Chloride","2.600","mg/L"
"BU24/0002","20232467","15-Mar 2023 15:00pm","Conductivity","7.6","mS/m"
"BU24/0002","20232467","15-Mar 2023 15:00pm","Conductivity (Field)","6.70","mS/m"
"BU24/0002","20232467","15-Mar 2023 15:00pm","Difference in Ion Balance","0.180","%"
"BU24/0002","20232467","15-Mar 2023 15:00pm","Dissolved Oxygen","7.620","mg/L"
"BU24/0002","20232467","15-Mar 2023 15:00pm","Dissolved Oxygen Saturation","72.500","%"
"BU24/0002","20232467","15-Mar 2023 15:00pm","E. coli","19","MPN/100mL"
