Site ID,L35/1195
Site Name,L35/1195
Sample ID,20243131
Collection Date,17-Apr 2024 10:45am
Name,Value,Units
"Alkalinity, Total","64.0","g/m3 as CaCO3"
"Bicarbonate","78.000","mg/L  at 25°C"
"Calcium, Dissolved","17.200","mg/L"
"Chloride","6.500","mg/L"
"Conductivity","15.5","mS/m"
"Conductivity (Field)","15.36","mS/m"
"Difference in Ion Balance","0.290","%"
"Dissolved Oxygen","4.020","mg/L"
"Dissolved Oxygen Saturation","37.800","%"
"E. coli","1","MPN/100mL"
"Hardness, Total","61.000","g/m3 as CaCO3"
"Magnesium, Dissolved","4.500","mg/L"
"Nitrate Nitrogen","0.250","mg/L"
"Oxidation Reduction Potential","342.100","mV"
"pH","7.6",""
"pH (Field)","6.38",""
"Potassium, Dissolved","1.350","mg/L"
"Silica, Reactive","11.600","mg/L  as SiO2"
"Sodium, Dissolved","7.000","mg/L"
"Sulphate","4.100","mg/L"
"Sum of anions","1.580","meq/L"
"Sum of cations","1.570","meq/L"
"Total Coliforms","2.00","number/100mL"
"Water Temperature (Field)","11.3","C"
