Site ID,L37/0685
Site Name,L37/0685
Site ID,SampleID,Collection Date,Measurement,Value,Units
"L37/0685","20236696","22-Nov 2023 07:45am","Alkalinity, Total","52.0","g/m3 as CaCO3"
"L37/0685","20236696","22-Nov 2023 07:45am","Aluminium, Dissolved","<0.003","mg/L"
"L37/0685","20236696","22-Nov 2023 07:45am","Ammoniacal Nitrogen","<0.010","mg/L"
"L37/0685","20236696","22-Nov 2023 07:45am","Bicarbonate","62.000","mg/L  at 25°C"
"L37/0685","20236696","22-Nov 2023 07:45am","Calcium, Dissolved","22.000","mg/L"
"L37/0685","20236696","22-Nov 2023 07:45am","Chloride","7.900","mg/L"
"L37/0685","20236696","22-Nov 2023 07:45am","Conductivity","22.9","mS/m"
"L37/0685","20236696","22-Nov 2023 07:45am","Conductivity (Field)","22.71","mS/m"
"L37/0685","20236696","22-Nov 2023 07:45am","Difference in Ion Balance","1.270","%"
"L37/0685","20236696","22-Nov 2023 07:45am","Dissolved Oxygen","9.980","mg/L"
"L37/0685","20236696","22-Nov 2023 07:45am","Dissolved Oxygen Saturation","95.800","%"
"L37/0685","20236696","22-Nov 2023 07:45am","Dissolved Reactive Phosphorus","0.0048","mg/L"
"L37/0685","20236696","22-Nov 2023 07:45am","E. coli","<1","MPN/100mL"
"L37/0685","20236696","22-Nov 2023 07:45am","Hardness, Total","82.000","g/m3 as CaCO3"
"L37/0685","20236696","22-Nov 2023 07:45am","Iron, Dissolved","0.020","mg/L"
"L37/0685","20236696","22-Nov 2023 07:45am","Magnesium, Dissolved","6.800","mg/L"
"L37/0685","20236696","22-Nov 2023 07:45am","Manganese, Dissolved","0.0069","mg/L"
"L37/0685","20236696","22-Nov 2023 07:45am","Nitrate Nitrogen","9.200","mg/L"
"L37/0685","20236696","22-Nov 2023 07:45am","Nitrate-N Nitrite-N","9.200","g/m3"
"L37/0685","20236696","22-Nov 2023 07:45am","Nitrite Nitrogen","<0.002","mg/L"
"L37/0685","20236696","22-Nov 2023 07:45am","Oxidation Reduction Potential","212.500","mV"
"L37/0685","20236696","22-Nov 2023 07:45am","pH","7.8",""
"L37/0685","20236696","22-Nov 2023 07:45am","pH (Field)","6.38",""
"L37/0685","20236696","22-Nov 2023 07:45am","Potassium, Dissolved","1.220","mg/L"
"L37/0685","20236696","22-Nov 2023 07:45am","Silica, Reactive","18.200","mg/L  as SiO2"
"L37/0685","20236696","22-Nov 2023 07:45am","Sodium, Dissolved","12.500","mg/L"
"L37/0685","20236696","22-Nov 2023 07:45am","Sulphate","12.400","mg/L"
"L37/0685","20236696","22-Nov 2023 07:45am","Sum of anions","2.200","meq/L"
"L37/0685","20236696","22-Nov 2023 07:45am","Sum of cations","2.200","meq/L"
"L37/0685","20236696","22-Nov 2023 07:45am","Total Coliforms","<1.00","number/100mL"
"L37/0685","20236696","22-Nov 2023 07:45am","Total Dissolved Phosphorus","0.006","mg/L"
"L37/0685","20236696","22-Nov 2023 07:45am","Water Temperature (Field)","13.5","C"
"L37/0685","20226705","22-Nov 2022 10:45am","Alkalinity, Total","46.0","g/m3 as CaCO3"
"L37/0685","20226705","22-Nov 2022 10:45am","Ammoniacal Nitrogen","<0.010","mg/L"
"L37/0685","20226705","22-Nov 2022 10:45am","Arsenic, Dissolved","<0.0010","mg/L"
"L37/0685","20226705","22-Nov 2022 10:45am","Bicarbonate","56.000","mg/L  at 25°C"
"L37/0685","20226705","22-Nov 2022 10:45am","Calcium, Dissolved","19.800","mg/L"
"L37/0685","20226705","22-Nov 2022 10:45am","Chloride","8.100","mg/L"
"L37/0685","20226705","22-Nov 2022 10:45am","Conductivity","21.8","mS/m"
"L37/0685","20226705","22-Nov 2022 10:45am","Conductivity (Field)","20.81","mS/m"
"L37/0685","20226705","22-Nov 2022 10:45am","Difference in Ion Balance","1.200","%"
"L37/0685","20226705","22-Nov 2022 10:45am","Dissolved Oxygen","9.970","mg/L"
"L37/0685","20226705","22-Nov 2022 10:45am","Dissolved Oxygen Saturation","99.200","%"
"L37/0685","20226705","22-Nov 2022 10:45am","Dissolved Reactive Phosphorus","0.0033","mg/L"
"L37/0685","20226705","22-Nov 2022 10:45am","E. coli","<1","MPN/100mL"
"L37/0685","20226705","22-Nov 2022 10:45am","Hardness, Total","74.000","g/m3 as CaCO3"
"L37/0685","20226705","22-Nov 2022 10:45am","Iron, Dissolved","0.040","mg/L"
"L37/0685","20226705","22-Nov 2022 10:45am","Magnesium, Dissolved","6.100","mg/L"
"L37/0685","20226705","22-Nov 2022 10:45am","Manganese, Dissolved","0.0140","mg/L"
"L37/0685","20226705","22-Nov 2022 10:45am","Nitrate Nitrogen","8.400","mg/L"
"L37/0685","20226705","22-Nov 2022 10:45am","Nitrate-N Nitrite-N","8.400","g/m3"
"L37/0685","20226705","22-Nov 2022 10:45am","Nitrite Nitrogen","<0.002","mg/L"
"L37/0685","20226705","22-Nov 2022 10:45am","Oxidation Reduction Potential","43.600","mV"
"L37/0685","20226705","22-Nov 2022 10:45am","pH","7.3",""
"L37/0685","20226705","22-Nov 2022 10:45am","pH (Field)","6.17",""
"L37/0685","20226705","22-Nov 2022 10:45am","Potassium, Dissolved","1.110","mg/L"
"L37/0685","20226705","22-Nov 2022 10:45am","Silica, Reactive","17.000","mg/L  as SiO2"
"L37/0685","20226705","22-Nov 2022 10:45am","Sodium, Dissolved","10.300","mg/L"
"L37/0685","20226705","22-Nov 2022 10:45am","Sulphate","12.400","mg/L"
"L37/0685","20226705","22-Nov 2022 10:45am","Sum of anions","2.000","meq/L"
"L37/0685","20226705","22-Nov 2022 10:45am","Sum of cations","1.960","meq/L"
"L37/0685","20226705","22-Nov 2022 10:45am","Total Coliforms","<1.00","number/100mL"
"L37/0685","20226705","22-Nov 2022 10:45am","Total Dissolved Phosphorus","0.005","mg/L"
"L37/0685","20226705","22-Nov 2022 10:45am","Water Temperature (Field)","13.6","C"
"L37/0685","20216869","15-Nov 2021 09:45am","Alkalinity, Total","50.0","g/m3 as CaCO3"
"L37/0685","20216869","15-Nov 2021 09:45am","Ammoniacal Nitrogen","0.010","mg/L"
"L37/0685","20216869","15-Nov 2021 09:45am","Bicarbonate","60.000","mg/L  at 25°C"
"L37/0685","20216869","15-Nov 2021 09:45am","Calcium, Dissolved","19.300","mg/L"
"L37/0685","20216869","15-Nov 2021 09:45am","Chloride","7.300","mg/L"
"L37/0685","20216869","15-Nov 2021 09:45am","Conductivity","21.5","mS/m"
"L37/0685","20216869","15-Nov 2021 09:45am","Conductivity (Field)","20.91","mS/m"
"L37/0685","20216869","15-Nov 2021 09:45am","Difference in Ion Balance","3.500","%"
"L37/0685","20216869","15-Nov 2021 09:45am","Dissolved Oxygen","9.940","mg/L"
"L37/0685","20216869","15-Nov 2021 09:45am","Dissolved Oxygen Saturation","100.100","%"
"L37/0685","20216869","15-Nov 2021 09:45am","Dissolved Reactive Phosphorus","0.0056","mg/L"
"L37/0685","20216869","15-Nov 2021 09:45am","E. coli","<1","MPN/100mL"
"L37/0685","20216869","15-Nov 2021 09:45am","Fluoride","0.170","g/m3"
"L37/0685","20216869","15-Nov 2021 09:45am","Hardness, Total","73.000","g/m3 as CaCO3"
"L37/0685","20216869","15-Nov 2021 09:45am","Iron, Dissolved","0.020","mg/L"
"L37/0685","20216869","15-Nov 2021 09:45am","Magnesium, Dissolved","6.000","mg/L"
"L37/0685","20216869","15-Nov 2021 09:45am","Manganese, Dissolved","0.0043","mg/L"
"L37/0685","20216869","15-Nov 2021 09:45am","Nitrate Nitrogen","8.900","mg/L"
"L37/0685","20216869","15-Nov 2021 09:45am","Nitrate-N Nitrite-N","8.900","g/m3"
"L37/0685","20216869","15-Nov 2021 09:45am","Nitrite Nitrogen","<0.002","mg/L"
"L37/0685","20216869","15-Nov 2021 09:45am","Oxidation Reduction Potential","215.000","mV"
"L37/0685","20216869","15-Nov 2021 09:45am","pH","7.3",""
"L37/0685","20216869","15-Nov 2021 09:45am","pH (Field)","6.39",""
"L37/0685","20216869","15-Nov 2021 09:45am","Potassium, Dissolved","1.090","mg/L"
"L37/0685","20216869","15-Nov 2021 09:45am","Silica, Reactive","17.600","mg/L  as SiO2"
"L37/0685","20216869","15-Nov 2021 09:45am","Sodium, Dissolved","10.600","mg/L"
"L37/0685","20216869","15-Nov 2021 09:45am","Sulphate","11.800","mg/L"
"L37/0685","20216869","15-Nov 2021 09:45am","Sum of anions","2.100","meq/L"
"L37/0685","20216869","15-Nov 2021 09:45am","Sum of cations","1.950","meq/L"
"L37/0685","20216869","15-Nov 2021 09:45am","Total Coliforms","<1.00","number/100mL"
"L37/0685","20216869","15-Nov 2021 09:45am","Total Dissolved Phosphorus","0.005","mg/L"
"L37/0685","20216869","15-Nov 2021 09:45am","Water Temperature (Field)","14.3","C"
"L37/0685","20206845","11-Dec 2020 12:30pm","Alkalinity, Total","52.0","g/m3 as CaCO3"
"L37/0685","20206845","11-Dec 2020 12:30pm","Ammoniacal Nitrogen","<0.010","mg/L"
"L37/0685","20206845","11-Dec 2020 12:30pm","Bicarbonate","63.000","mg/L  at 25°C"
"L37/0685","20206845","11-Dec 2020 12:30pm","Boron, Dissolved","0.016","mg/L"
"L37/0685","20206845","11-Dec 2020 12:30pm","Bromide","0.031","g/m3"
"L37/0685","20206845","11-Dec 2020 12:30pm","Calcium, Dissolved","19.100","mg/L"
"L37/0685","20206845","11-Dec 2020 12:30pm","Chloride","6.300","mg/L"
"L37/0685","20206845","11-Dec 2020 12:30pm","Conductivity","20.6","mS/m"
"L37/0685","20206845","11-Dec 2020 12:30pm","Conductivity (Field)","20.02","mS/m"
"L37/0685","20206845","11-Dec 2020 12:30pm","Copper, Dissolved","0.0012","mg/L"
"L37/0685","20206845","11-Dec 2020 12:30pm","Difference in Ion Balance","0.460","%"
"L37/0685","20206845","11-Dec 2020 12:30pm","Dissolved Oxygen","13.920","mg/L"
"L37/0685","20206845","11-Dec 2020 12:30pm","Dissolved Oxygen Saturation","133.300","%"
"L37/0685","20206845","11-Dec 2020 12:30pm","Dissolved Reactive Phosphorus","0.0055","mg/L"
"L37/0685","20206845","11-Dec 2020 12:30pm","E. coli","<1","MPN/100mL"
