Site ID,O31/0127
Site Name,O31/0127
Sample ID,183826903
Collection Date,05-Sep 2017 09:45am
Name,Value,Units
"Alkalinity, Total","93.0","g/m3 as CaCO3"
"Ammoniacal Nitrogen","<0.010","mg/L"
"Arsenic, Dissolved","<0.0010","mg/L"
"Bicarbonate","113.000","mg/L  at 25°C"
"Boron, Dissolved","0.124","mg/L"
"Bromide","<0.050","g/m3"
"Calcium, Dissolved","37.000","mg/L"
"Chloride","6.000","mg/L"
"Conductivity","24.8","mS/m"
"Conductivity (Field)","24.31","mS/m"
"Difference in Ion Balance","0.220","%"
"Dissolved Oxygen","8.120","mg/L"
"Dissolved Oxygen Saturation","74.200","%"
"Dissolved Reactive Phosphorus","0.0020","mg/L"
"E. coli","<1","MPN/100mL"
"Hardness, Total","105.000","g/m3 as CaCO3"
"Iron, Dissolved","<0.020","mg/L"
"Magnesium, Dissolved","2.800","mg/L"
"Manganese, Dissolved","0.0040","mg/L"
"Nitrate Nitrogen","0.150","mg/L"
"Oxidation Reduction Potential","115.200","mV"
"pH","7.4",""
"pH (Field)","6.92",""
"Potassium, Dissolved","1.340","mg/L"
"Silica, Reactive","9.200","mg/L  as SiO2"
"Sodium, Dissolved","8.300","mg/L"
"Sulphate","22.000","mg/L"
"Sum of anions","2.500","meq/L"
"Sum of cations","2.500","meq/L"
"Total Coliforms","2.00","number/100mL"
"Water Temperature (Field)","11.2","C"
