Site ID,K37/1014
Site Name,Missing Name
Sample ID,20181014
Collection Date,22-Feb 2018 13:18pm
Name,Value,Units
"Alkalinity, Total","79.0","g/m3 as CaCO3"
"Ammoniacal Nitrogen","<0.010","mg/L"
"Bicarbonate","97.000","mg/L  at 25°C"
"Boron, Dissolved","0.021","mg/L"
"Bromide","0.036","g/m3"
"Calcium, Dissolved","29.000","mg/L"
"Chloride","17.700","mg/L"
"Conductivity","32.0","mS/m"
"Conductivity (Field)","31.56","mS/m"
"Difference in Ion Balance","0.100","%"
"Dissolved Organic Carbon","<0.500","mg/L"
"Dissolved Oxygen","1.680","mg/L"
"Dissolved Oxygen Saturation","15.700","%"
"Dissolved Reactive Phosphorus","0.0027","mg/L"
"E. coli","<1","MPN/100mL"
"Hardness, Total","114.000","g/m3 as CaCO3"
"Iron, Dissolved","<0.020","mg/L"
"Magnesium, Dissolved","10.400","mg/L"
"Manganese, Dissolved","0.0041","mg/L"
"Nitrate Nitrogen","4.300","mg/L"
"Nitrate-N Nitrite-N","4.300","g/m3"
"Nitrite Nitrogen","<0.002","mg/L"
"Oxidation Reduction Potential","190.200","mV"
"pH","6.9",""
"pH (Field)","6.27",""
"Potassium, Dissolved","1.250","mg/L"
"Silica, Reactive","16.500","mg/L  as SiO2"
"Sodium, Dissolved","18.500","mg/L"
"Sulphate","35.000","mg/L"
"Sum of anions","3.100","meq/L"
"Sum of cations","3.100","meq/L"
"Total Coliforms","31.0","number/100mL"
"Water Temperature (Field)","12.6","C"
