Site ID,K37/0503
Site Name,Missing Name
Sample ID,2404829
Collection Date,25-Aug 2004 14:20pm
Name,Value,Units
"Alkalinity to pH 4.5 as HCO3","50.000","mg/L  as HCO3"
"Ammoniacal Nitrogen","<0.005","mg/L"
"Calcium, Dissolved","28.000","mg/L"
"Chloride","23.000","mg/L"
"Conductivity","34.0","mS/m"
"Conductivity (Field)","33.50","mS/m"
"Dissolved Oxygen","6.990","mg/L"
"Dissolved Oxygen Saturation","70.400","%"
"Iron, Dissolved","0.050","mg/L"
"Magnesium, Dissolved","9.800","mg/L"
"Manganese, Dissolved","0.0100","mg/L"
"Nitrate Nitrogen","14.100","mg/L"
"pH","6.3",""
"pH (Field)","7.10",""
"Potassium, Dissolved","1.000","mg/L"
"Sodium, Dissolved","18.000","mg/L"
"Sulphate","27.000","mg/L"
"Total Kjeldahl Nitrogen","<0.050","mg/L"
"Water Temperature (Field)","11.3","C"
