Site ID,BX24/3198
Site Name,Control
Sample ID,20234733
Collection Date,02-Aug 2023 13:30pm
Name,Value,Units
"Ammoniacal Nitrogen","0.058","mg/L"
"Arsenic, Dissolved","0.0014","mg/L"
"Cadmium, Dissolved","<0.00005","mg/L"
"Chromium, Dissolved","<0.0005","mg/L"
"Conductivity (Field)","20.79","mS/m"
"Copper, Dissolved","0.0010","mg/L"
"Dissolved Oxygen","2.290","mg/L"
"Dissolved Oxygen Saturation","20.500","%"
"Iron, Dissolved","1.690","mg/L"
"Lead, Dissolved","<0.0001","mg/L"
"Manganese, Dissolved","0.3700","mg/L"
"Nickel, Dissolved","0.0009","mg/L"
"Oxidation Reduction Potential","-75.900","mV"
"pH (Field)","6.32",""
"Sulphate","5.400","mg/L"
"Water Temperature (Field)","10.2","C"
"Zinc, Dissolved","0.016","mg/L"
