Site ID,M37/0325
Site Name,Missing Name
Site ID,SampleID,Collection Date,Measurement,Value,Units
"M37/0325","20243425","08-May 2024 13:00pm","Alkalinity, Total","60.0","g/m3 as CaCO3"
"M37/0325","20243425","08-May 2024 13:00pm","Ammoniacal Nitrogen","<0.010","mg/L"
"M37/0325","20243425","08-May 2024 13:00pm","Arsenic, Dissolved","<0.0010","mg/L"
"M37/0325","20243425","08-May 2024 13:00pm","Bicarbonate","73.000","mg/L  at 25°C"
"M37/0325","20243425","08-May 2024 13:00pm","Boron, Dissolved","0.026","mg/L"
"M37/0325","20243425","08-May 2024 13:00pm","Bromide","<0.050","g/m3"
"M37/0325","20243425","08-May 2024 13:00pm","Calcium, Dissolved","27.000","mg/L"
"M37/0325","20243425","08-May 2024 13:00pm","Chloride","8.300","mg/L"
"M37/0325","20243425","08-May 2024 13:00pm","Conductivity","20.0","mS/m"
"M37/0325","20243425","08-May 2024 13:00pm","Conductivity (Field)","19.90","mS/m"
"M37/0325","20243425","08-May 2024 13:00pm","Difference in Ion Balance","0.640","%"
"M37/0325","20243425","08-May 2024 13:00pm","Dissolved Organic Carbon","<0.500","mg/L"
"M37/0325","20243425","08-May 2024 13:00pm","Dissolved Oxygen","8.920","mg/L"
"M37/0325","20243425","08-May 2024 13:00pm","Dissolved Oxygen Saturation","83.700","%"
"M37/0325","20243425","08-May 2024 13:00pm","Dissolved Reactive Phosphorus","0.0023","mg/L"
"M37/0325","20243425","08-May 2024 13:00pm","E. coli","<1","MPN/100mL"
"M37/0325","20243425","08-May 2024 13:00pm","Fluoride","<0.050","g/m3"
"M37/0325","20243425","08-May 2024 13:00pm","Hardness, Total","82.000","g/m3 as CaCO3"
"M37/0325","20243425","08-May 2024 13:00pm","Iron, Dissolved","<0.020","mg/L"
"M37/0325","20243425","08-May 2024 13:00pm","Magnesium, Dissolved","3.400","mg/L"
"M37/0325","20243425","08-May 2024 13:00pm","Manganese, Dissolved","<0.0005","mg/L"
"M37/0325","20243425","08-May 2024 13:00pm","Nitrate Nitrogen","3.800","mg/L"
"M37/0325","20243425","08-May 2024 13:00pm","Nitrate-N Nitrite-N","3.800","g/m3"
"M37/0325","20243425","08-May 2024 13:00pm","Nitrite Nitrogen","<0.002","mg/L"
"M37/0325","20243425","08-May 2024 13:00pm","Oxidation Reduction Potential","121.400","mV"
"M37/0325","20243425","08-May 2024 13:00pm","pH","7.6",""
"M37/0325","20243425","08-May 2024 13:00pm","pH (Field)","6.59",""
"M37/0325","20243425","08-May 2024 13:00pm","Potassium, Dissolved","1.340","mg/L"
"M37/0325","20243425","08-May 2024 13:00pm","Silica, Reactive","12.500","mg/L  as SiO2"
