Site ID,L36/0393
Site Name,L36/0393
Site ID,SampleID,Collection Date,Measurement,Value,Units
"L36/0393","20236125","20-Oct 2023 09:45am","Alkalinity, Total","39.0","g/m3 as CaCO3"
"L36/0393","20236125","20-Oct 2023 09:45am","Aluminium, Dissolved","0.030","mg/L"
"L36/0393","20236125","20-Oct 2023 09:45am","Ammoniacal Nitrogen","<0.010","mg/L"
"L36/0393","20236125","20-Oct 2023 09:45am","Bicarbonate","47.000","mg/L  at 25°C"
"L36/0393","20236125","20-Oct 2023 09:45am","Calcium, Dissolved","17.100","mg/L"
"L36/0393","20236125","20-Oct 2023 09:45am","Chloride","4.800","mg/L"
"L36/0393","20236125","20-Oct 2023 09:45am","Conductivity","13.4","mS/m"
"L36/0393","20236125","20-Oct 2023 09:45am","Conductivity (Field)","12.86","mS/m"
"L36/0393","20236125","20-Oct 2023 09:45am","Difference in Ion Balance","0.840","%"
"L36/0393","20236125","20-Oct 2023 09:45am","Dissolved Oxygen","7.020","mg/L"
"L36/0393","20236125","20-Oct 2023 09:45am","Dissolved Oxygen Saturation","66.900","%"
"L36/0393","20236125","20-Oct 2023 09:45am","Dissolved Reactive Phosphorus","0.0100","mg/L"
"L36/0393","20236125","20-Oct 2023 09:45am","E. coli","7","MPN/100mL"
"L36/0393","20236125","20-Oct 2023 09:45am","Hardness, Total","52.000","g/m3 as CaCO3"
"L36/0393","20236125","20-Oct 2023 09:45am","Iron, Dissolved","<0.020","mg/L"
"L36/0393","20236125","20-Oct 2023 09:45am","Magnesium, Dissolved","2.200","mg/L"
"L36/0393","20236125","20-Oct 2023 09:45am","Manganese, Dissolved","0.0012","mg/L"
"L36/0393","20236125","20-Oct 2023 09:45am","Nitrate Nitrogen","2.200","mg/L"
"L36/0393","20236125","20-Oct 2023 09:45am","Nitrate-N Nitrite-N","2.200","g/m3"
"L36/0393","20236125","20-Oct 2023 09:45am","Nitrite Nitrogen","<0.002","mg/L"
"L36/0393","20236125","20-Oct 2023 09:45am","Oxidation Reduction Potential","325.300","mV"
"L36/0393","20236125","20-Oct 2023 09:45am","pH","7.4",""
"L36/0393","20236125","20-Oct 2023 09:45am","pH (Field)","6.05",""
"L36/0393","20236125","20-Oct 2023 09:45am","Potassium, Dissolved","1.540","mg/L"
"L36/0393","20236125","20-Oct 2023 09:45am","Silica, Reactive","9.100","mg/L  as SiO2"
"L36/0393","20236125","20-Oct 2023 09:45am","Sodium, Dissolved","4.500","mg/L"
"L36/0393","20236125","20-Oct 2023 09:45am","Sulphate","9.200","mg/L"
"L36/0393","20236125","20-Oct 2023 09:45am","Sum of anions","1.260","meq/L"
