Site ID,K37/1939
Site Name,Missing Name
Sample ID,20182849
Collection Date,09-Apr 2018 16:00pm
Name,Value,Units
"Alkalinity, Total","41.0","g/m3 as CaCO3"
"Ammoniacal Nitrogen","<0.010","mg/L"
"Bicarbonate","49.000","mg/L  at 25°C"
"Boron, Dissolved","0.009","mg/L"
"Bromide","0.026","g/m3"
"Calcium, Dissolved","14.900","mg/L"
"Chloride","6.000","mg/L"
"Conductivity","16.6","mS/m"
"Conductivity (Field)","16.26","mS/m"
"Difference in Ion Balance","2.300","%"
"Dissolved Organic Carbon","0.700","mg/L"
"Dissolved Oxygen","10.290","mg/L"
"Dissolved Oxygen Saturation","97.800","%"
"Dissolved Reactive Phosphorus","0.0080","mg/L"
"E. coli","<1","MPN/100mL"
"Hardness, Total","54.000","g/m3 as CaCO3"
"Iron, Dissolved","<0.020","mg/L"
"Magnesium, Dissolved","4.100","mg/L"
"Manganese, Dissolved","0.0010","mg/L"
"Nitrate Nitrogen","6.700","mg/L"
"Nitrate-N Nitrite-N","6.700","g/m3"
"Nitrite Nitrogen","<0.002","mg/L"
"Oxidation Reduction Potential","115.300","mV"
"pH","7.4",""
"pH (Field)","7.12",""
"Potassium, Dissolved","1.100","mg/L"
"Silica, Reactive","17.800","mg/L  as SiO2"
"Sodium, Dissolved","9.200","mg/L"
"Sulphate","5.800","mg/L"
"Sum of anions","1.580","meq/L"
"Sum of cations","1.500","meq/L"
"Total Coliforms","<1.00","number/100mL"
"Water Temperature (Field)","12.4","C"
